Designation,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Is Potentially Hazardous,Relative Velocity (km/s),Relative Velocity (km/h),Miss Distance (km),Miss Distance (miles),Orbiting Body,Cluster,Object Type,pca_1,pca_2,pca_3
433,10.41,22.0067027115,49.2084832235,0,5.5786191875,20083.0290749201,47112732.928149395,29274494.765191957,0,2,Asteroid,5.360843704606345,-1.7438493965303763,0.02331722195858466
433,10.41,22.0067027115,49.2084832235,0,4.3944908885,15820.1671985367,70533232.89379448,43827318.62043476,0,2,Asteroid,5.67091776141457,-1.0113214167363187,0.1501044531286757
433,10.41,22.0067027115,49.2084832235,0,4.8167840184,17340.4224662258,74687814.59975122,46408855.98503804,0,2,Asteroid,5.676214095297563,-0.9054774600868981,0.2642356254292209
433,10.41,22.0067027115,49.2084832235,0,4.5960548855,16545.797587763,53823292.39421864,33444243.063609555,0,2,Asteroid,5.500255249362974,-1.5094452501584341,-0.033580096074862995
433,10.41,22.0067027115,49.2084832235,0,5.9208185341,21314.9467227704,26040971.83587945,16181109.570794513,0,2,Asteroid,5.138713701208842,-2.3753538534662013,-0.19555871887884946
433,10.41,22.0067027115,49.2084832235,0,6.0840524046,21902.5886564605,32164326.017637733,19985985.424901344,0,2,Asteroid,5.182615055083195,-2.2018526392511166,-0.0938872353874141
433,10.41,22.0067027115,49.2084832235,0,3.626098636,13053.9550896485,60289296.3832705,37462031.63507472,0,2,Asteroid,5.6364098814698655,-1.2826993961420445,-0.09176603718715146
433,10.41,22.0067027115,49.2084832235,0,3.7078364482,13348.2112136055,66195880.154722884,41132212.60210236,0,2,Asteroid,5.684709155266605,-1.1124545096555287,-0.004666835518591226
433,10.41,22.0067027115,49.2084832235,0,6.0668849725,21840.7859008821,39833635.13462586,24751473.13159649,0,2,Asteroid,5.255020817535515,-1.9761017780724732,0.0013367785392071555
433,10.41,22.0067027115,49.2084832235,0,5.8253076833,20971.1076598791,22609353.042813383,14048800.529267363,0,2,Asteroid,5.1144276922982925,-2.472432843072055,-0.25312127565992976
433,10.41,22.0067027115,49.2084832235,0,5.6652718459,20394.9786453535,46149346.25189328,28675874.042978145,0,2,Asteroid,5.345106259598507,-1.775427568941305,0.023600842316734066
433,10.41,22.0067027115,49.2084832235,0,4.305902138,15501.2476969045,69957978.9982776,43469872.4247609,0,2,Asteroid,5.672551874446054,-1.0248290307185632,0.1299369811708785
433,10.41,22.0067027115,49.2084832235,0,4.4122923953,15884.2526231559,54688077.78293672,33981595.78678209,0,2,Asteroid,5.522712831536526,-1.4770600384640462,-0.04919321066086133
